"stockid","stocklong","assessid","scientificname","commonname","areaid","region"
"HERRSIRS","Herring ICES 7a-g-h-j-k","HAWG-HERRSIRS-1957-2010-NEUBAUER","Clupea harengus","Herring","multinational-ICES-VIIa-g-h-j-k","European Union"
"HERRVIaVIIbc","Herring ICES 6a7bc","HAWG-HERRVIaVIIbc-1956-2010-NEUBAUER","Clupea harengus","Herring","multinational-ICES-VIa-VIIb-VIIc","European Union"
"JANCHOTSST","Japanese anchovy Tsushima Strait","FAJ-JANCHOTSST-1977-2014-KUROTA","Engraulis japonicus","Japanese anchovy","Japan-FAJ-TSST","Japan"
"JMACKTSST","Japanese jack mackerel Tsushima Strait","FAJ-JMACKTSST-1973-2010-ONO","Trachurus japonicus","Japanese jack mackerel","Japan-FAJ-TSST","Japan"
"LINGCODNPCOAST","Lingcod Northern Pacific Coast","NWFSC-LINGCODNPCOAST-1928-2009-STACHURA","Ophiodon elongatus","Lingcod","USA-NMFS-NPCOAST","US West Coast"
"LINGCODSPCOAST","Lingcod Southern Pacific Coast","NWFSC-LINGCODSPCOAST-1928-2009-STACHURA","Ophiodon elongatus","Lingcod","USA-NMFS-SPCOAST","US West Coast"
"LNOSESKAPCOAST","Longnose skate Pacific Coast","NWFSC-LNOSESKAPCOAST-1915-2007-BRANCH","Raja rhina","Longnose skate","USA-NMFS-PCOAST","US West Coast"
"LSTHORNHPCOAST","Longspine thornyhead Pacific Coast","NWFSC-LSTHORNHPCOAST-1964-2012-HIVELY","Sebastolobus altivelis","Longspine thornyhead","USA-NMFS-PCOAST","US West Coast"
"MENATGM","Gulf menhaden Gulf of Mexico","SEFSC-MENATGM-1948-2011-HIVELY","Brevoortia patronus","Gulf menhaden","USA-NMFS-GM","US Southeast and Gulf"
"MENATLAN","Atlantic menhaden Atlantic","NMFS-MENATLAN-1940-2005-STANTON","Brevoortia tyrannus","Atlantic menhaden","USA-NMFS-ATL","US East Coast"
"MORWONGESE","Jackass morwong Eastern half of Southeast Australia","CSIRO-MORWONGESE-1915-2020-MOESENEDER","Nemadactylus macropterus","Jackass morwong","Australia-AFMA-ESE","Australia"
"NROCKGA","Northern rockfish Gulf of Alaska","AFSC-NROCKGA-1959-2010-STACHURA","Sebastes polyspinis","Northern rockfish","USA-NMFS-GA","US Alaska"
"NRSOLEEBSAI","Northern rock sole Eastern Bering Sea and Aleutian Islands","AFSC-NRSOLEEBSAI-1975-2012-HIVELY","Lepidopsetta polyxystra","Northern rock sole","USA-NMFS-EBSAI","US Alaska"
"PACBTUNA","Pacific bluefin tuna Pacific Ocean","ISC-PACBTUNA-1952-2012-PONS","Thunnus orientalis","Pacific bluefin tuna","multinational-ISC-PAC","Pacific Ocean"
"PAUAPAU5B","Paua New Zealand Area PAU 5B (Stewart Island)","NZMFishSHELLFISHWG-PAUAPAU5B-1965-2013-FU","Haliotis iris","Paua","New Zealand-MFish-PAU5B","New Zealand"
"PAUAPAU5D","Paua New Zealand Area PAU 5D (Otago)","NZMFishSHELLFISHWG-PAUAPAU5D-1965-2012-FU","Haliotis iris","Paua","New Zealand-MFish-PAU5D","New Zealand"
"PCEELCSCH","Pink cusk eel Central-Southern Chile","IFOPCH-PCEELCSCH-1978-2020-Quiroz","Genypterus blacodes","Pink cusk eel","Chile-SUBPESCA-CH-CS","South America"
"PCEELSCH","Pink cusk eel Southern Chile","IFOPCH-PCEELSCH-1978-2020-Quiroz","Genypterus blacodes","Pink cusk eel","Chile-SUBPESCA-CH-S","South America"
"PCODWCVANI","Pacific cod West Coast of Vancouver Island","DFO-PAC-PCODWCVANI-1956-2002-COLLIE","Gadus macrocephalus","Pacific cod","Canada-DFO-WCVANI","Canada West Coast"
"PERCHEBSAI","Pacific ocean perch Eastern Bering Sea and Aleutian Islands","AFSC-PERCHEBSAI-1960-2011-STACHURA","Sebastes alutus","Pacific ocean perch","USA-NMFS-EBSAI","US Alaska"
"PERCHHG","Pacific Ocean perch Haida Gwaii","DFO-PAC-PERCHHG-1939-2017-ASHBROOK","Sebastes alutus","Pacific ocean perch","Canada-DFO-HG","Canada West Coast"
"PERCHWCVANI","Pacific ocean perch West Coast of Vancouver Island","DFO-PERCHWCVANI-1939-2013-WATSON","Sebastes alutus","Pacific ocean perch","Canada-DFO-WCVANI","Canada West Coast"
"PHAKEPCOAST","Pacific hake Pacific Coast","PFMC-PHAKEPCOAST-1966-2016-WATSON","Merluccius productus","Pacific hake","USA-NMFS-PCOAST","US West Coast"
"PILCHPJPN","Japanese sardine Pacific Coast of Japan","FAJ-PILCHPJPN-1976-2009-ONO","Sardinops melanostictus","Japanese sardine","Japan-FAJ-PJPN","Japan"
"PILCHTSST","Japanese sardine Tsushima Strait","FAJ-PILCHTSST-1960-2010-ONO","Sardinops melanostictus","Japanese sardine","Japan-FAJ-TSST","Japan"
"PLAICCELT","European plaice Celtic Sea","WGSSDS-PLAICCELT-1992-2010-NEUBAUER","Pleuronectes platessa","European plaice","multinational-ICES-VIIf-g","European Union"
"PLAICNS","European plaice North Sea","WGNSSK-PLAICNS-1956-2010-NEUBAUER","Pleuronectes platessa","European plaice","multinational-ICES-IV","European Union"
"POLLFAPL","Saithe Faroe Plateau","NWWG-POLLFAPL-1958-2012-CHING","Pollachius virens","Saithe","multinational-ICES-Vb1","Europe non EU"
"POLLNEAR","Saithe North-East Arctic","AFWG-POLLNEAR-1957-2012-CHING","Pollachius virens","Saithe","multinational-ICES-I-II","Europe non EU"
